"datetime";"latitude";"longitude";"sensor_type";"value"
2022-01-02 10:00:00.000;43.77451166666667;11.255278333333333;PM10;13.0
2022-01-02 10:00:00.000;43.77451166666667;11.255278333333333;RH;99.9000015258789
2022-01-02 10:00:00.000;43.77451166666667;11.255278333333333;PM2.5;11.0
2022-01-02 10:00:00.000;43.77451166666667;11.255278333333333;T;10.800000190734863
2022-01-02 11:00:00.000;43.77451166666667;11.255278333333333;PM10;16.0
2022-01-02 11:00:00.000;43.77451166666667;11.255278333333333;PM2.5;13.0
2022-01-02 11:00:00.000;43.77451166666667;11.255278333333333;RH;99.9000015258789
2022-01-02 11:00:00.000;43.77451166666667;11.255278333333333;T;11.0
2022-01-02 12:00:00.000;43.77451166666667;11.255278333333333;PM10;14.0
2022-01-02 12:00:00.000;43.77451166666667;11.255278333333333;T;11.699999809265137
